,fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
88,1,0.8,0.4312976141095262,-1,23,50,0.0163951585844574,-1.2525504871135782,AC,2740,9658.053963336424,6127.876509907696,5613.358745450843,1,7,CA,37,1,BC,0,1,-1,0,200.0,1,INTERNET,9.78264630184745,other,0,1,0,0
108,1,0.9,0.7587051813243423,-1,22,30,0.0019763412737975,-1.2370169124925614,AB,875,4339.622889733868,5771.794441628651,4812.626274391312,9,9,CA,110,1,BB,0,1,1,0,500.0,0,INTERNET,6.830667194200165,other,0,1,0,3
148,1,0.2,0.7661601114671827,-1,301,20,0.0014435601767213,-1.5696754684199,AB,1025,5473.567124900394,5441.212927414551,4162.381276417476,7,6,CA,48,1,BA,0,0,25,0,200.0,0,INTERNET,3.10304799185737,linux,0,2,0,1
152,1,0.9,0.0584811865214277,-1,22,30,0.0109443744925317,-1.003755648473286,AB,1725,10626.888307030824,6451.848289453501,4923.205586636229,35,9,CA,286,1,BC,0,1,31,0,2000.0,0,INTERNET,2.1354744207661898,windows,0,1,0,3
182,1,0.9,0.8429855324963111,-1,102,60,0.0245126904852667,22.65651074249495,AA,1044,6775.570235799771,5949.407483637523,6710.229441438957,2,5,CA,65,1,BC,0,1,20,0,200.0,0,INTERNET,6.419037707667048,other,0,1,0,0
323,1,0.3,0.6474393064437566,-1,104,30,0.0119130047932586,-1.0928235162610402,AC,597,1529.1152340396454,2847.9469959327366,3092.738178743437,2,11,CA,159,1,BC,0,1,-1,0,500.0,0,INTERNET,6.435254155282867,windows,1,1,0,7
361,1,0.9,0.1076299836284596,-1,65,40,0.0047986456956842,-1.2476815089024873,AC,2864,5587.18898911848,4425.916315605733,4841.724730601627,1,6,CA,154,1,BA,1,1,-1,1,200.0,1,INTERNET,4.51846888989588,windows,0,1,0,4
390,1,0.3,0.8167663241993915,-1,209,20,0.0045394013301711,-0.7499921700568284,AB,1629,1620.0789435227834,2234.7624506418447,3111.308447776992,12,6,CA,130,1,BE,0,1,1,0,200.0,0,INTERNET,6.344976588326827,windows,0,1,0,7
497,1,0.2,0.087440656242374,-1,54,40,0.0092698195914232,-1.7237658929641098,AB,1424,2268.4707368384084,5278.951873863201,5376.987333029874,21,6,CA,75,1,BC,0,1,26,0,200.0,0,INTERNET,13.730815333903177,linux,1,1,0,1
550,1,0.7000000000000001,0.3597830229097936,-1,50,20,0.0080093348681086,-1.098215991715177,AB,2148,7801.709768202082,4959.042340630871,4180.028296821824,1,3,CA,111,1,BE,0,1,10,0,200.0,0,INTERNET,5.793728190207076,windows,0,2,0,5
659,1,0.7000000000000001,0.4628550510201306,-1,192,50,0.0013629602159871,-1.0445439592079553,AA,2185,5202.453101611769,6333.4477492876085,5290.888097723266,804,18,CA,22,1,BD,0,1,31,0,500.0,0,INTERNET,6.8813051217894055,windows,1,1,0,3
976,1,0.9,0.5968398624907832,-1,126,10,0.0059410649147251,-0.6033087244215487,AB,835,4089.816302361715,3317.0855258617244,3150.466821738261,2,6,CA,113,1,BA,0,1,28,0,200.0,0,INTERNET,4.308794016933836,windows,0,1,0,7
1055,1,0.8,0.6917338057307989,112,3,40,0.0001059830165081,-1.304753724080908,AB,2863,1069.1300321339954,7295.237283607321,3093.4116657256072,1284,8,CA,284,0,BC,0,1,28,0,1500.0,0,INTERNET,8.31462300212959,other,0,1,0,7
1069,1,0.9,0.1943127083511404,-1,154,20,0.0032573969716828,-0.5022599841041082,AC,75,2503.8099862511413,1897.702139619908,3591.2751208677173,0,9,CA,270,0,BA,0,1,-1,0,990.0,0,INTERNET,2.1399379787620183,linux,1,1,0,7
1075,1,0.9,0.7699413014178478,-1,75,40,0.0127702539168184,-0.4835349757499953,AA,1463,9820.960805178034,5698.039147325529,6746.906249457516,3,1,CA,233,1,BD,0,1,1,0,1500.0,0,INTERNET,1.6074822227514485,other,0,1,0,0
1205,1,0.9,0.7603725742334542,-1,55,20,0.0042847700162642,-0.7468783055823507,AC,2794,4675.700104291482,4771.796211227581,4270.383193135336,5,18,CA,207,1,BC,0,0,31,0,1500.0,0,INTERNET,7.28935885455899,linux,1,1,0,5
1209,1,0.7000000000000001,0.1411318523285597,-1,127,30,0.0017454212088144,-1.1600466360240371,AB,1111,1605.8865801945956,4300.489398512459,5028.597674393595,11,16,CB,169,1,BA,0,1,1,0,1000.0,0,INTERNET,3.54877121606556,windows,1,1,0,4
1265,1,0.8,0.2358578029504692,-1,41,70,0.0312287584727296,-0.926212811603306,AD,748,3271.723826625339,3128.828238011557,3616.712777370573,8,3,CC,264,1,BC,1,1,10,0,1500.0,0,INTERNET,8.219699891078246,linux,1,1,0,7
